date,RMZ index,S5REITS index
2018-03-09,122.684650517049,142.59108160368
2018-03-08,122.035643430373,141.604331394386
2018-03-07,121.946770027795,140.683378999293
2018-03-06,121.139900596255,139.931426822346
2018-03-05,120.631226696337,139.390939066496
2018-03-02,119.292301637699,137.516986252243
2018-03-01,119.363631607613,137.992578472545
2018-02-28,119.19407126188,138.758521679243
2018-02-27,119.073629672697,138.881357209835
2018-02-26,122.021611539154,142.040634518897
2018-02-23,121.764355441936,141.455535365326
2018-02-22,119.818518970282,139.08592319667
2018-02-21,118.512325474784,137.499100576659
2018-02-20,120.844060366823,140.065112539275
2018-02-19,122.25497908101933,141.4842904638134
2018-02-16,122.477669415637,141.51533702392
2018-02-15,121.793589738191,140.592283119052
2018-02-14,120.584448967418,139.27551592636
2018-02-13,121.571406231744,140.245499742451
2018-02-12,120.908367253848,139.539438143088
2018-02-09,120.915390336738,139.263991886345
2018-02-08,117.796670473454,135.932402196991
2018-02-07,121.298947729492,140.387717132216
2018-02-06,121.914038464654,141.045798065469
2018-02-05,121.773705277897,141.324921964318
2018-02-02,125.583513626958,145.205302657382
2018-02-01,126.627768969979,146.631279830874
2018-01-31,129.476357084082,149.471630189102
2018-01-30,127.187902654076,146.359728219964
2018-01-29,128.213444050617,147.005976739485
2018-01-26,129.934755988195,148.791380611973
2018-01-25,130.389643350864,148.361142170563
2018-01-24,130.610656343496,148.665415659217
2018-01-23,131.361383935597,149.10441419844
2018-01-22,129.614349243209,146.903733720438
2018-01-19,128.381826745256,145.444155233045
2018-01-18,127.743354282914,144.511598849195
2018-01-17,129.337208685698,145.988617583469
2018-01-16,128.468359120205,144.996853445962
2018-01-15,127.72710294736835,143.99911100206143
2018-01-12,128.239166805427,144.2749163108
2018-01-11,129.278740093189,145.335402102195
2018-01-10,129.672817835719,146.396253373551
2018-01-09,131.211700912879,148.677088175467
2018-01-08,132.936524391902,150.451858865345
2018-01-05,132.27467020238,149.59280963862
2018-01-04,132.140189584697,149.19467632752
2018-01-03,134.58066806505,151.849545605617
2018-01-02,134.839094676082,151.712639096534
2018-01-01,134.67343683609667,151.76511973466165
2017-12-29,135.327898390265,152.663766430894
2017-12-28,135.626079647327,152.767208681063
2017-12-27,135.228504637911,152.047601480651
2017-12-26,134.752562301133,151.445199135183
2017-12-25,134.4322149732944,151.14641254341367
2017-12-22,134.015866600252,150.71728868691
2017-12-21,133.134155657354,149.592432737411
2017-12-20,133.612424747203,150.173648666398
2017-12-19,135.253056878906,151.824921393255
2017-12-18,138.196370964663,154.760776233752
2017-12-15,137.312318994135,154.311749838104
2017-12-14,136.479726807785,153.894531620298
2017-12-13,136.618889480728,153.996854588087
2017-12-12,136.409567351686,154.002759373704
2017-12-11,135.757048723565,153.327386669804
2017-12-08,135.875156422399,153.003582845741
2017-12-07,135.120917288853,152.60620333706
2017-12-06,134.765423678538,152.081579695761
2017-12-05,134.93499116155,151.836742385739
2017-12-04,136.069276146406,152.488918533375
2017-12-01,136.822359040695,154.5325568407
2017-11-30,136.486749890675,154.233445756492
2017-11-29,136.346416703917,154.140339736466
2017-11-28,136.214277113864,154.466987451474
2017-11-27,136.794295258256,154.927457938396
2017-11-24,137.431597206783,155.337720615697
2017-11-23,137.31097108537665,155.07357760886677
2017-11-22,137.214095755596,154.781060371579
2017-11-21,137.548534391801,155.316088770514
2017-11-20,136.56508866892,154.42865774058
2017-11-17,136.986059680074,154.881875734529
2017-11-16,137.467840311368,155.758376629384
2017-11-15,136.4434837032,155.163695048089
2017-11-14,137.904028002116,156.517878251772
2017-11-13,138.224434747102,156.778659625086
2017-11-10,137.538014042026,156.33251138413
2017-11-09,137.381307936419,156.406658131187
2017-11-08,137.29945761673,156.388395554393
2017-11-07,136.694887231343,155.224319036595
2017-11-06,135.558261218857,153.785698540707
2017-11-03,134.759585384022,151.486795323227
2017-11-02,135.091682992598,151.695575750861
2017-11-01,133.965577329888,150.345275771762
2017-10-31,133.376209349536,150.423648380867
2017-10-30,133.318911270842,149.986225973976
2017-10-27,133.549288373993,149.089360992552
2017-10-26,132.948229530051,148.712494046674
2017-10-25,133.937513547448,149.599616702891
2017-10-24,134.358484558603,149.985769124024
2017-10-23,135.171206559217,150.94534818248
2017-10-20,135.726658188055,151.528357247525
2017-10-19,136.478556293971,151.717356072278
2017-10-18,136.988400707704,151.865261243934
2017-10-17,137.091306001503,152.154561475443
2017-10-16,136.929932115195,152.139439742063
2017-10-13,137.532161472952,152.824166448711
2017-10-12,137.210584214151,152.541090797786
2017-10-11,136.496099726635,151.480308053922
2017-10-10,135.971052907867,150.666761082323
2017-10-09,135.601527406332,150.357256661729
2017-10-06,135.30100512164,150.170050973033
2017-10-05,135.759389751195,150.48989162377
2017-10-04,135.260065687237,150.01167251625
2017-10-03,134.61107287512,148.77087947042
2017-10-02,134.698775763883,148.853363729083
2017-09-29,134.94902305277,149.496402877698
2017-09-28,134.846117758971,149.381950543709
2017-09-27,134.219336160219,148.454556564306
2017-09-26,135.401569387809,149.748641156927
2017-09-25,135.223822582652,149.598874321721
2017-09-22,134.477762771251,149.114362106124
2017-09-21,135.34075976767,150.378511605702
2017-09-20,135.707944241575,150.711817908747
2017-09-19,136.099680956475,151.150588022993
2017-09-18,136.995423790593,152.777464962464
2017-09-15,137.681844495669,153.576415578126
2017-09-14,137.476033908072,153.108601228241
2017-09-13,136.444639942456,152.179105739063
2017-09-12,136.793124744441,152.821254030273
2017-09-11,138.473511522174,154.701191578885
2017-09-08,137.338041748945,153.593855825008
2017-09-07,137.143936299496,153.617280806249
2017-09-06,136.324205490552,152.461747382535
2017-09-05,135.993264121232,152.28816724363
2017-09-04,136.3362133262452,152.59656803022753
2017-09-01,136.358107567507,152.365706101574
2017-08-31,135.855286236663,152.51061890605
2017-08-30,135.112737966708,151.757033490528
2017-08-29,134.331591289978,151.036147110253
2017-08-28,134.470739688362,151.119899127531
2017-08-25,135.472899357723,151.812346598352
2017-08-24,134.889383946446,151.143187053786
2017-08-23,135.304502388526,151.40126159114
2017-08-22,134.013525572622,149.794154833301
2017-08-21,134.349134722643,149.999988578751
2017-08-18,132.934197638831,148.404040380967
2017-08-17,134.227515482365,149.563993827957
2017-08-16,135.091682992598,150.611071073289
2017-08-15,134.651998034964,150.164740092352
2017-08-14,135.255397906536,150.682248295664
2017-08-11,132.977463826305,148.13479586231
2017-08-10,133.828755684575,149.074547632889
2017-08-09,134.843776731342,150.403809671742
2017-08-08,135.277609119901,150.203058381997
2017-08-07,135.888032074362,150.964958466629
2017-08-04,136.022498417487,150.987195637997
2017-08-03,135.615559297552,150.579114419212
2017-08-02,135.971052907867,150.957557497422
2017-08-01,137.166147512862,151.655155951441
2017-07-31,136.533513345035,151.034947879131
2017-07-28,136.429437537422,151.24452779418
2017-07-27,136.796622011327,151.397892322751
2017-07-26,136.692546203713,151.500672140491
2017-07-25,135.795647130339,150.250890571873
2017-07-24,135.580486706782,150.157179225662
2017-07-21,135.787453533635,150.419376833824
2017-07-20,135.869318127883,150.050367707104
2017-07-19,136.628239316688,150.555461012996
2017-07-18,135.622582380441,149.478288777138
2017-07-17,135.827222454223,149.663769857269
2017-07-14,134.827403812492,149.328955949386
