日期,"最新价 
(SPX Index)","自由流通股市值 
(SPX Index)","股票指数每日净股利 
(SPX Index)","市盈率
(P/E) 
(SPX Index)"
1995-01-02,1345.12258836185,2966183.0,0.0983856419953043,15.3401741714213
1995-01-03,459.11,2967059.75,0.0132529996335506,15.4213024891183
1995-01-04,460.71,2978157.25,0.130572006106377,15.4054190219673
1995-01-05,460.34,2975113.0,0.0545950010418892,15.4119650665778
1995-01-06,460.68,2976491.5,0.00170999998226762,15.4136874218335
1995-01-09,460.83,2976884.0,0.0545919984579086,15.433239938579
1995-01-10,461.68,2980386.0,0.00365799991413951,15.4376375559627
1995-01-11,461.66,2980724.75,0.019986666118105244,15.4342262171834
1995-01-12,461.64,2979064.5,0.026078888163384453,15.5770144107919
1995-01-13,465.97,3007970.75,0.0873750001192093,15.6863132218076
1995-01-16,469.38,3029708.75,0.044480184800233004,15.7117135992989
1995-01-17,470.05,3035017.5,0.0115630002692342,15.7021647435595
1995-01-18,469.72,3050191.0,0.00550699979066849,15.6117350352054
1995-01-19,466.95,3036523.0,0.00815900042653084,15.5425077850126
1995-01-20,464.78,3022640.25,0.000280999985989183,15.5826118488893
1995-01-23,465.81,3029018.25,0.0254239998757839,15.5779390060177
1995-01-24,465.86,3028095.5,0.0444170013070107,15.5830473195307
1995-01-25,467.44,3037450.25,0.0537770017981529,15.6167093565079
1995-01-26,468.32,3041886.25,0.0183189995586872,15.6840402298258
1995-01-27,470.39,3055848.75,0.00451700016856194,15.594146106599
1995-01-30,468.51,3045040.0,0.0890130028128624,15.6063105047281
1995-01-31,470.42,3064402.75,0.128407999873161,15.6052095599462
1995-02-01,470.4,3060762.25,0.029389999806881,15.6787993393816
1995-02-02,472.78,3075005.75,0.0758180022239685,15.8679924952669
1995-02-03,478.64,3112139.75,0.0341279990971088,15.9509840669064
1995-02-06,481.14,3129642.5,0.232102006673813,15.9409035696512
1995-02-07,480.81,3127483.75,0.0470499992370605,15.9535980325665
1995-02-08,481.19,3129968.5,0.046254001557827,15.9180206554138
1995-02-09,480.19,3122756.0,0.10283800214529,15.957307493857
1995-02-10,481.46,3130156.75,0.090938001871109,15.9654315642529
1995-02-13,481.65,3134150.0,0.116821996867657,15.9958143529576
1995-02-14,482.55,3140274.0,0.0901789963245392,16.060616191629
1995-02-15,484.54,3152741.75,0.0446039997041225,16.0795518116491
1995-02-16,485.22,3156375.0,0.00459099980071187,15.986996322102
1995-02-17,481.97,3139195.25,0.0970140025019646,16.0148038503646
1995-02-20,481.5048536648537,3139195.25,0.048736334002266325,16.0967629842603
1995-02-21,482.74,3143825.0,0.0202709995210171,16.1723105382294
1995-02-22,485.07,3160489.0,0.0632349997758865,16.2146986033423
1995-02-23,486.91,3174064.5,0.107890002429485,16.0961271487031
1995-02-24,488.11,3183372.5,0.019140999764204,16.1731878029909
1995-02-27,483.81,3156232.25,0.100759997963905,16.1114770936118
1995-02-28,487.39,3182843.5,0.0222079996019602,16.1001654302107
1995-03-01,485.65,3170134.0,0.140018999576569,16.1107453125464
1995-03-02,485.13,3165408.0,0.0175730008631945,16.1190476966461
1995-03-03,485.42,3167822.25,0.0991469994187355,16.0045691019868
1995-03-06,485.63,3169605.0,0.0885929986834526,16.041300600205
1995-03-07,482.12,3146382.0,0.0244340002536774,16.0460577637832
1995-03-08,483.14,3153241.75,0.00324400002136827,16.2567137286232
1995-03-09,483.16,3153994.25,0.250645011663437,16.2700744107317
1995-03-10,489.57,3195640.5,0.00717699993401766,16.3626178257315
1995-03-13,490.05,3198023.5,0.0328890010714531,16.3350162053694
1995-03-14,492.89,3217249.5,0.0194060001522303,16.4529111574215
1995-03-15,491.88,3211623.25,0.0279009994119406,16.4642746357766
1995-03-16,495.41,3234753.0,0.0324539989233017,16.4920394367744
