日期,"最新价 
(RMZ Index)","自由流通股市值 
(RMZ Index)","股票指数每日净股利 
(RMZ Index)"
2011-10-06,705.51,311602.4375,0.10913266365726781
2011-10-05,686.41,303142.8125,0.14224155164427219
2011-10-04,693.24,306158.71875,0.10260040450979158
2011-10-03,664.41,293431.53125,0.0427040010690689
2011-09-30,698.52,308506.3125,0.0466770008206367
2011-09-29,719.23,317664.8125,0.297452002763748
2011-09-28,706.14,311877.4375,0.0149739999324083
2011-09-27,727.8,321452.9375,0.0433569997549057
2011-09-26,720.28,318138.625,1.39380598068237
2011-09-23,710.41,313781.28125,0.48404566012322797
2011-09-22,702.83,310416.59375,0.0110060004517436
2011-09-21,721.61,318709.375,0.0297679994255304
2011-09-20,761.24,335709.34375,0.174939886666834
2011-09-19,762.28,335715.875,0.0108789997175336
2011-09-16,779.59,343276.28125,0.106031998991966
2011-09-15,772.71,340265.9375,0.09728362845877786
2011-09-14,760.7,334970.9375,0.243217006325722
2011-09-13,756.42,333074.90625,0.302195012569427
2011-09-12,753.99,331973.0625,0.0865280032157898
2011-09-09,750.95,330615.125,0.400402009487152
2011-09-08,776.4,341821.625,0.313280999660492
2011-09-07,783.49,344735.4375,0.276019990444183
2011-09-06,753.89,331722.5625,0.0235120002180338
2011-09-05,748.7258378658379,332525.4375,0.0301070008426905
2011-09-02,755.7,332525.4375,0.10987966383496911
2011-09-01,775.12,341079.8125,0.054499554965231144
2011-08-31,787.76,346631.21875,0.06482873988096359
2011-08-30,779.7,343094.6875,0.041313998401165
2011-08-29,777.05,341921.4375,0.0714119970798492
2011-08-26,752.15,330945.40625,0.141374006867409
2011-08-25,741.33,326159.15625,0.0189660005271435
2011-08-24,756.63,332892.71875,0.0772506681581339
2011-08-23,746.81,328576.46875,0.07919689185089547
2011-08-22,728.05,320350.4375,0.05847118684539095
2011-08-19,726.3,319602.6875,0.07163958228480678
2011-08-18,740.14,325017.25,0.06976922032703108
2011-08-17,775.96,340762.8125,0.00948499981313944
2011-08-16,773.83,339827.71875,0.0502979341416591
2011-08-15,777.34,341415.4375,0.180693998932838
2011-08-12,749.47,329179.9375,0.0459109991788864
2011-08-11,751.58,330223.5625,0.717697978019714
2011-08-10,712.96,313280.0,0.0536190010607243
2011-08-09,732.29,321735.90625,0.146457001566887
2011-08-08,666.47,292507.0625,0.0115350000560284
2011-08-05,732.51,320642.84375,0.00955799967050552
2011-08-04,751.04,328536.90625,0.259719997644424
2011-08-03,791.68,346327.5,0.29415699839592
2011-08-02,796.94,348503.6875,0.464282989501953
2011-08-01,823.4,359990.9375,0.0227359998971224
2011-07-29,836.64,365558.6875,0.2603919959316651
2011-07-28,836.25,365276.6875,0.2491369951102468
2011-07-27,835.08,364680.6875,0.1774216636463448
2011-07-26,859.79,375204.84375,0.142077997326851
2011-07-25,857.85,374361.09375,0.153718993067741
2011-07-22,866.93,377999.28125,0.15773955134697895
2011-07-21,862.88,376158.84375,0.15117884724719033
2011-07-20,855.68,372992.4375,0.15421246388730345
2011-07-19,849.52,370140.875,0.1543769541604909
2011-07-18,834.94,363739.28125,0.15325608843166158
2011-07-15,841.41,366552.09375,0.0095229996368289
2011-07-14,831.41,362186.96875,0.1057186807429938
2011-07-13,839.43,365683.75,0.08949925627049476
2011-07-12,848.4,368702.40625,0.06824697888343915
2011-07-11,844.86,367182.03125,0.176218003034592
2011-07-08,860.26,373844.0625,0.11132141272950864
2011-07-07,862.48,374805.5625,0.11859546488251327
2011-07-06,852.3,370359.375,0.0284969992935658
2011-07-05,846.18,373023.125,0.47892901301384
2011-07-04,844.0763066563064,364920.5,0.20867382572997303
2011-07-01,839.92,364920.5,0.172388002276421
2011-06-30,825.01,358458.3125,0.28666361367341137
2011-06-29,823.04,357603.15625,0.302206009626389
2011-06-28,814.5,353809.5625,0.25375254185874047
2011-06-27,809.48,349990.90625,0.178063005208969
2011-06-24,804.96,348164.5625,1.24944996833801
2011-06-23,804.93,348065.25,0.0112509997561574
2011-06-22,821.93,353790.375,0.0167309995740652
2011-06-21,825.11,355160.875,0.42581065588941086
2011-06-20,818.85,352570.25,0.042348999530077
2011-06-17,808.68,348217.875,0.0947650000452995
2011-06-16,800.99,344885.4375,0.00960300024598837
2011-06-15,794.55,342004.875,0.048905666607121624
2011-06-14,808.26,347824.34375,0.266784995794296
2011-06-13,796.34,342796.46875,0.0626910030841827
2011-06-10,793.58,341572.96875,0.0680319964885712
2011-06-09,813.65,350072.125,0.757278978824615
2011-06-08,822.41,353843.65625,0.29600065946578963
2011-06-07,825.64,355234.5,0.3737705449263253
2011-06-06,816.66,351357.6875,0.215315997600555
2011-06-03,828.25,356335.9375,0.29502906733088996
2011-06-02,825.3,355044.3125,0.2947052032859234
2011-06-01,831.13,357540.5625,0.26835008940578947
2011-05-31,856.46,367408.875,0.2860281200075343
2011-05-30,853.986208236208,361647.625,0.0724110007286072
2011-05-27,843.01,361647.625,0.208929736713977
2011-05-26,838.71,359906.0625,0.18912295248337282
2011-05-25,827.65,355054.9375,0.158409997820854
2011-05-24,823.57,353292.1875,0.017450999468565
2011-05-23,820.33,353328.625,0.1216613165909306
2011-05-20,829.13,357099.1875,0.09917410462678321
2011-05-19,839.38,361360.75,0.07942880689542627
2011-05-18,836.68,362826.1875,0.10008807603771336
2011-05-17,828.72,358609.9375,0.0807859972119331
2011-05-16,828.97,358807.53125,0.174118995666504
2011-05-13,827.07,357994.5,0.0450850017368793
2011-05-12,836.67,362165.5,0.0883380025625229
2011-05-11,835.34,361682.40625,0.754043996334076
2011-05-10,845.75,365776.3125,0.278073996305466
2011-05-09,832.13,359731.78125,0.00977599993348122
2011-05-06,827.59,356154.625,0.3472979975243411
2011-05-05,835.1,359174.625,0.21171599792109608
2011-05-04,836.78,359494.46875,0.45262798666954
2011-05-03,841.45,361485.09375,0.758319020271301
2011-05-02,848.58,364080.03125,0.0226629991084337
2011-04-29,847.89,363514.53125,0.4112033353497582
2011-04-28,852.32,365331.9375,0.3973951182431643
2011-04-27,841.61,360694.125,0.27708715090045205
2011-04-26,836.31,358306.5625,0.051231000572443
2011-04-25,828.84,355132.21875,0.369868993759155
2011-04-22,824.0859932659931,352511.125,0.23272904841068334
2011-04-21,823.27,352511.125,0.21794301424742712
2011-04-20,817.88,350063.84375,0.27351368547242183
2011-04-19,808.67,346073.90625,0.0298709999769926
2011-04-18,801.06,342832.75,0.17377589989894718
2011-04-15,809.48,346429.96875,0.0942369997501373
2011-04-14,799.4,342132.6875,0.09929463320869236
2011-04-13,787.18,336819.78125,0.12243584428592562
2011-04-12,788.25,337234.03125,0.10532249241491842
2011-04-11,789.79,337887.4375,0.301034986972809
2011-04-08,788.98,337556.875,0.176264441224551
2011-04-07,794.78,340010.1875,0.1942073068707595
2011-04-06,804.19,343870.65625,0.22383557835603984
2011-04-05,803.95,343763.34375,0.134046003222466
2011-04-04,803.53,343598.3125,0.18402962948308843
2011-04-01,803.85,343478.625,0.0538560003042221
2011-03-31,803.47,343296.625,0.00890399981290102
2011-03-30,796.9,340291.84375,0.30927699804306
2011-03-29,786.42,335750.875,0.12401233272006106
2011-03-28,783.02,334239.8125,0.360314011573792
2011-03-25,784.51,334853.625,0.961014986038208
2011-03-24,778.2,332168.6875,0.0646219998598099
2011-03-23,774.12,330445.75,0.0167830009013414
2011-03-22,783.11,333087.71875,0.3474733289331198
2011-03-21,788.91,335318.09375,0.0571039989590645
2011-03-18,779.61,331715.8125,0.1404534429311752
2011-03-17,772.78,328753.09375,0.00778800016269088
2011-03-16,766.08,325882.28125,0.0205269996076822
2011-03-15,778.03,330915.96875,0.262596011161804
2011-03-14,782.62,332799.5625,0.0469370000064373
2011-03-11,790.8,336306.34375,0.149597004055977
2011-03-10,782.89,332908.9375,0.0412230007350445
2011-03-09,795.23,338122.59375,0.592862010002136
2011-03-08,796.78,338576.84375,0.0655250027775764
2011-03-07,784.71,333439.59375,0.213080003857613
2011-03-04,790.62,335920.15625,0.29048900554577517
2011-03-03,798.88,339330.46875,0.18969800406032153
2011-03-02,786.39,333423.90625,0.0742499977350235
2011-03-01,795.02,335846.875,0.0988489985466003
2011-02-28,818.53,344905.125,0.12093233344731512
2011-02-25,800.6,337096.5625,0.09801044324297964
2011-02-24,784.4,329284.1875,0.10593059174563169
2011-02-23,789.43,331133.4375,0.0592899993062019
2011-02-22,796.25,333681.34375,0.0643900036811829
2011-02-21,799.9935301735301,336900.59375,0.07653686491100549
2011-02-18,804.15,336900.59375,0.0667389559661301
2011-02-17,801.04,335609.34375,0.0692219415194395
2011-02-16,800.59,335379.28125,0.07083258746552502
2011-02-15,797.39,333737.75,0.155684992671013
2011-02-14,801.33,335186.46875,0.183559998869896
2011-02-11,801.49,335273.4375,0.045745000243187
2011-02-10,796.04,332863.375,0.0907120034098625
2011-02-09,794.22,332100.96875,0.10667233417431517
2011-02-08,793.45,331777.09375,1.05221998691559
2011-02-07,791.29,330859.375,0.0127560002729297
2011-02-04,781.74,326871.46875,0.419656991958618
2011-02-03,789.76,330200.5,0.0100370002910495
2011-02-02,786.61,328881.625,0.239735007286072
2011-02-01,788.35,329309.21875,0.0243239998817444
2011-01-31,784.84,327820.875,0.0232100002467632
2011-01-28,773.49,322611.0625,0.09575633580485987
2011-01-27,788.29,328764.40625,0.0477634453111225
2011-01-26,776.7,323580.84375,0.0404900014400482
2011-01-25,775.39,323058.0,0.214816004037857
2011-01-24,766.51,319351.90625,0.453640997409821
2011-01-21,762.94,317806.78125,0.23631566762924208
2011-01-20,760.75,316937.03125,0.0289420001208782
2011-01-19,760.27,316689.40625,0.2396328883866471
2011-01-18,771.39,321238.84375,0.1682968520455891
2011-01-17,771.4473452473453,318805.09375,0.0942739993333817
2011-01-14,765.36,318805.09375,0.16740124658853928
2011-01-13,759.71,316535.28125,0.14332403265583668
2011-01-12,758.15,315870.8125,0.13499975952591922
2011-01-11,753.93,314058.4375,0.14857501292343175
2011-01-10,755.68,314816.34375,0.281495988368988
2011-01-07,756.01,314983.5625,0.029789000749588
2011-01-06,756.37,315066.625,0.0263240002095699
2011-01-05,764.31,318318.8125,0.11253632977604862
2011-01-04,759.96,316405.46875,0.05621644357840217
2011-01-03,775.66,322726.125,0.0264059994369745
2010-12-31,760.96,316618.65625,0.0566379986703396
2010-12-30,763.48,317679.46875,0.0857739970088005
2010-12-29,762.4,317323.40625,0.0177410002797842
2010-12-28,760.27,316395.8125,0.489885985851288
2010-12-27,758.33,315627.46875,0.827096998691559
2010-12-24,752.9700958300958,311640.46875,0.280954003334045
2010-12-23,748.62,311640.46875,0.5326456626256306
2010-12-22,752.33,313230.9375,0.5468988882170782
2010-12-21,747.75,311343.625,0.0170709993690252
2010-12-20,739.89,308067.25,0.3655385167372447
2010-12-17,730.23,304085.71875,0.120916001498699
2010-12-16,723.9,301386.90625,0.1678418392016563
2010-12-15,722.18,300222.875,0.2180987858125333
2010-12-14,730.22,302704.96875,0.397799998521805
2010-12-13,738.97,306280.90625,0.356049001216888
2010-12-10,738.64,305848.125,0.037907999008894
2010-12-09,731.48,302869.5625,0.51817798614502
2010-12-08,738.83,305764.28125,0.304044995456934
2010-12-07,750.99,310865.96875,0.28671032687028264
2010-12-06,748.61,309944.125,0.0200789999216795
2010-12-03,747.97,309087.4375,0.0537859983742237
2010-12-02,747.73,308948.625,0.0718690007925034
2010-12-01,737.15,304583.375,0.04857799969613554
2010-11-30,730.83,288449.875,0.05807766628762088
2010-11-29,735.9,290439.875,0.05950822225875327
2010-11-26,735.33,290209.15625,0.05538796274750323
2010-11-25,736.4779953379954,291493.375,0.0592940002679825
2010-11-24,738.59,291493.375,0.0092179998755455
2010-11-23,722.51,285140.375,0.04129998763034374
2010-11-22,729.04,287717.4375,0.03660399592462391
2010-11-19,728.0,287242.34375,0.00632699998095632
2010-11-18,723.49,285464.4375,0.028076994511974655
2010-11-17,717.46,283107.09375,0.02366933013918496
2010-11-16,711.05,280109.3125,0.008198999799788
2010-11-15,736.26,290011.84375,0.168687999248505
2010-11-12,742.96,292645.625,0.0472170002758503
2010-11-11,751.45,295983.5625,0.0955810025334358
2010-11-10,758.16,298629.09375,0.753548979759216
2010-11-09,748.77,294656.03125,0.298782327522834
2010-11-08,780.21,306569.375,0.235345005989075
2010-11-05,785.28,307911.65625,0.230693995952606
2010-11-04,777.73,304599.6875,0.269214987754822
2010-11-03,758.93,297175.8125,0.0145319998264313
2010-11-02,760.4,297310.90625,0.635978996753693
2010-11-01,755.17,294917.90625,0.0188110005110502
2010-10-29,748.4,292254.40625,0.22310733236372482
2010-10-28,747.65,291954.46875,0.29263244320948933
2010-10-27,751.8,293444.78125,0.17818359202808812
2010-10-26,758.16,294829.28125,0.0591689981520176
2010-10-25,764.27,297203.5625,0.392039000988007
2010-10-22,761.96,296224.1875,0.20979719705603758
2010-10-21,762.28,296367.71875,0.0307880006730556
2010-10-20,764.16,297115.5625,0.21087473290570005
2010-10-19,747.01,290379.625,0.15048664354493108
2010-10-18,757.19,294176.25,0.0919220000505447
2010-10-15,746.71,290112.71875,0.0076990001834929
2010-10-14,747.51,290308.875,0.08336921459298956
2010-10-13,749.97,291275.75,0.06099673827567572
2010-10-12,742.23,288275.8125,0.05068831768405272
2010-10-11,736.82,286179.96875,0.26468700170517
2010-10-08,736.9,286215.59375,0.12545735255496615
2010-10-07,734.77,285391.09375,0.1469442239813963
2010-10-06,733.59,284884.21875,0.17902952608051081
2010-10-05,737.9,286562.0625,0.0274609997868538
2010-10-04,725.33,281675.21875,0.0316580012440681
2010-10-01,719.79,279532.40625,0.0426459982991219
2010-09-30,715.7,277955.28125,0.00967399962246418
2010-09-29,714.14,277307.1875,0.426948994398117
