,lamar.csv
0,0.7736720554272518
1,0.7899741882896345
2,0.7902458905040075
3,0.7936421681836707
4,0.7891590816465155
5,0.7814155685368835
6,0.7853552506452928
7,0.792147806004619
8,0.7973101480777067
9,0.7945931259339765
10,0.7941855726124167
11,0.801521532400489
12,0.7989403613639452
13,0.7786985463931531
14,0.7697323733188426
15,0.7909251460399402
16,0.7977177013992665
17,0.7857628039668523
18,0.7925553593261785
19,0.7834533351446815
20,0.7852193995381063
21,0.7970384458633337
22,0.8045102567585924
23,0.8146990897975819
24,0.8141556853688359
25,0.82923515826654
26,0.8295068604809128
27,0.8345333514468143
28,0.8436353756283115
29,0.8401032468414618
30,0.8315446270887108
31,0.8258388805868768
32,0.8198614318706698
33,0.8314087759815243
34,0.8247520717293846
35,0.8223067518000271
36,0.8290993071593533
37,0.8517864420595027
38,0.9129194402934384
39,0.9025947561472625
40,0.8660508083140877
41,0.8483901643798397
42,0.8678168727075124
43,0.8780057057465018
44,0.8714848526015488
45,0.850292079880451
46,0.8369786713761718
47,0.8384730335552235
48,0.8310012226599646
49,0.8216274962640946
50,0.848933568808586
51,0.8483901643798397
52,0.8546393153104197
53,0.8763754924602636
54,0.8974324140741747
55,0.904224969433501
56,0.9011003939682107
57,0.8958022007879363
58,0.904224969433501
59,0.905583480505366
60,0.9110175247928272
61,0.9184893356880859
62,0.9144138024724902
63,0.9265045510120906
64,0.9115609292215732
65,0.905311778290993
66,0.8998777340035322
67,0.8964814563238692
68,0.9119684825431327
69,0.9023230539328895
70,0.9061268849341122
71,0.9210705067246296
72,0.8989267762532265
73,0.8977041162885477
74,0.907892949327537
75,0.9156364624371689
76,0.9346556174432821
77,0.9346556174432821
78,0.93669338405108
79,0.9292215731558213
80,0.9299008286917538
81,0.9279989131911424
82,0.9375084906941991
83,0.9592446678440429
84,0.9699769053117784
85,0.9683466920255399
86,0.9910338269256893
87,0.9860073359597881
88,0.9777204184214101
89,0.9709278630620839
90,0.9663089254177419
91,0.9664447765249287
92,0.9592446678440429
93,0.9641353077027577
94,0.9604673278087217
95,0.9559842412715664
96,0.948104877054748
97,0.9318027441923651
98,0.9354707240864013
99,0.9440293438391523
100,0.954354027985328
101,0.9525879635919032
102,0.9626409455237059
103,0.9660372232033689
104,0.9661730743105557
105,0.9648145632386902
106,0.9542181768781417
107,0.9620975410949599
108,0.9625050944165194
109,0.945252003803831
110,0.950414345876919
111,0.9714712674908301
112,0.9750033962776796
113,0.943757641624779
114,0.8766471946746366
115,0.8735226192093466
116,0.8667300638500204
117,0.8830321967124031
118,0.8740660236380926
119,0.8596658062763212
120,0.8588506996332019
121,0.849205271022959
122,0.8455372911289227
123,0.834940904768374
124,0.8540959108816737
125,0.8603450618122537
126,0.8569487841325907
127,0.8592582529547617
128,0.8602092107050674
129,0.8703980437440566
130,0.8676810216003261
131,0.8585789974188289
132,0.8493411221301452
133,0.8451297378073632
134,0.847439206629534
135,0.8538242086673007
136,0.8487977177013992
137,0.842548566770819
138,0.8429561200923787
139,0.8570846352397772
140,0.849748675451705
141,0.836299415840239
142,0.8118462165466649
143,0.8193180274419236
144,0.8061404700448309
145,0.7973101480777067
146,0.801249830186116
147,0.7951365303627225
148,0.787257166145904
149,0.794728977041163
150,0.7928270615405515
151,0.7967667436489607
152,0.783860888466241
153,0.7905175927183807
154,0.7860345061812253
155,0.8103518543676131
156,0.8102160032604266
157,0.8104877054747996
158,0.8293710093737263
159,0.8303219671240321
160,0.8282842005162341
161,0.8187746230131774
162,0.8247520717293846
163,0.8178236652628719
164,0.8060046189376442
165,0.8127971742969704
166,0.8069555766879501
167,0.8032875967939137
168,0.7988045102567585
169,0.8031517456867274
170,0.8170085586197526
171,0.8145632386903954
172,0.8156500475478876
173,0.8108952587963592
174,0.8212199429425351
175,0.8108952587963592
176,0.8164651541910068
177,0.8570846352397772
178,0.8570846352397772
179,0.8441787800570575
180,0.8558619752750984
181,0.8921342208939003
182,0.8847982611058278
183,0.8940361363945115
184,0.89879092514604
185,0.8955304985735635
186,0.9129194402934384
187,0.9141421002581172
188,0.9077570982203507
189,0.897296562966988
190,0.890775709822035
191,0.8924059231082733
192,0.9051759271838065
193,0.904496671647874
194,0.9097948648281484
195,0.9114250781143867
196,0.9110175247928272
197,0.9070778426844177
198,0.9121043336503192
199,0.9126477380790654
200,0.9243309332971064
201,0.9351990218720283
202,0.9255535932617851
203,0.9191685912240184
204,0.9347914685504686
205,0.9305800842276863
206,0.9341122130145361
207,0.9224290177964951
208,0.9145496535796767
209,0.9115609292215732
210,0.9319385952995518
211,0.9432142371960333
212,0.9275913598695829
213,0.9015079472897705
214,0.8903681565004755
215,0.8852058144273875
216,0.8952587963591905
217,0.8860209210705068
218,0.8759679391387041
219,0.8680885749218856
220,0.8718924059231083
221,0.8861567721776933
222,0.9004211384322782
223,0.8875152832495585
224,0.8771905991033828
225,0.8716207037087351
226,0.8622469773128651
227,0.8857492188561338
228,0.8826246433908436
229,0.8803151745686726
230,0.8895530498573563
231,0.887379432142372
232,0.8751528324955848
233,0.8686319793506316
234,0.8732509169949736
235,0.8951229452520038
236,0.8739301725309061
237,0.8729792147806006
238,0.881673685640538
239,0.8733867681021601
240,0.8926776253226465
241,0.895938051895123
242,0.8769188968890096
243,0.8831680478195898
244,0.8941719875016982
245,0.9000135851107187
246,0.9051759271838065
247,0.9138703980437439
248,0.9130552914006249
249,0.9207988045102566
250,0.9190327401168321
251,0.9178100801521532
252,0.9241950821899199
253,0.9271838065480233
254,0.9184893356880859
255,0.9214780600461894
256,0.9057193316125527
257,0.9201195489743241
258,0.9227007200108681
259,0.9123760358646922
260,0.9153647602227957
