,simu_logreturn,simu_std
2005-01-04,-0.010862966068089008,0.0003521885664667934
2005-01-05,-0.030192304402589798,0.001122895278967917
2005-01-06,0.008513052947819233,0.00035916012711822987
2005-01-07,0.0024551560636609793,0.0006755318609066308
2005-01-10,0.0005475099897012115,0.0006621502689085901
2005-01-11,-0.01161413174122572,0.0004105257976334542
2005-01-12,-0.00722131785005331,0.0003468140494078398
2005-01-13,0.002623456297442317,0.0005456013022921979
2005-01-14,0.009769253432750702,0.0004140831879340112
2005-01-18,0.012205256149172783,0.0006679355283267796
2005-01-19,0.000460898649180308,0.0007533417665399611
2005-01-20,-0.009266270324587822,0.0010063617955893278
2005-01-21,0.0011118283728137612,0.0010468916734680533
2005-01-24,-0.014300374314188957,0.0007474445155821741
2005-01-25,-0.013223463669419289,0.0007349562947638333
2005-01-26,0.0018947242060676217,0.0008603377500548959
2005-01-27,-0.008434949442744255,0.0005511190393008292
2005-01-28,0.005528982728719711,0.0003785814915318042
2005-01-31,-0.0006251930608414114,0.0004562484391499311
2005-02-01,0.007673458196222782,0.0005221616593189538
2005-02-02,0.010793051682412624,0.0007716650725342333
2005-02-03,0.0002147419290849939,0.0006359957042150199
2005-02-04,0.01034169178456068,0.0006679615471512079
2005-02-07,-0.006601447239518166,0.0004424550279509276
2005-02-08,0.0050547001883387566,0.00048397723003290594
2005-02-09,0.003197339130565524,0.0009031043155118823
2005-02-10,0.00012055102706653997,0.001416086102835834
2005-02-11,0.004963153041899204,0.000524661794770509
2005-02-14,-0.00036935354000888765,0.0005617588758468628
2005-02-15,0.0031699466053396463,0.0003385036252439022
2005-02-16,0.01012697909027338,0.0008202832541428506
2005-02-17,-0.0001592613261891529,0.0006454312824644148
2005-02-18,-0.005370483733713627,0.0007072427542880177
2005-02-22,-0.021494977176189423,0.0005803534877486527
2005-02-23,-0.0020974893122911453,0.0007005985244177282
2005-02-24,-0.0016247434541583061,0.0004967633285559714
2005-02-25,0.015479828231036663,0.0004956602351740003
2005-02-28,-0.005830301903188229,0.0007825582288205624
2005-03-01,0.01131560280919075,0.0006261453963816166
2005-03-02,-0.0037934102583676577,0.0006042342865839601
2005-03-03,0.0031316946260631084,0.0003412705264054239
2005-03-04,0.016212671995162964,0.0007722829468548298
2005-03-07,0.007070504128932953,0.00048034885548986495
2005-03-08,-0.0076481010764837265,0.0004391760448925197
2005-03-09,-0.02578655257821083,0.000761207309551537
2005-03-10,0.009992094710469246,0.000428405444836244
2005-03-11,-0.007769463583827019,0.001799197169020772
2005-03-14,0.012825350277125835,0.001028711791150272
2005-03-15,-0.008954903110861778,0.0005679727182723582
2005-03-16,-0.0088879419490695,0.0006014215177856386
2005-03-17,0.006775541231036186,0.000731362437363714
2005-03-18,-0.0024900506250560284,0.000580161577090621
