,rent_stock_click,REIT_reit_estate_click
2005-06-17,-2.2640290854804044,11.856425929986148
2005-06-18,-2.264029085480399,11.856425929986154
2005-06-19,-2.264029085480399,11.856425929986154
2005-06-20,-2.264029085480399,11.856425929986154
2005-06-21,-2.264029085480399,11.856425929986154
2005-06-22,-2.264029085480399,11.856425929986154
2005-06-23,-2.264029085480399,11.856425929986154
2005-06-24,-2.264029085480399,11.856425929986154
2005-06-25,-2.264029085480399,11.856425929986154
2005-06-26,-2.264029085480399,11.856425929986154
2005-06-27,-2.264029085480399,11.856425929986154
2005-06-28,-2.264029085480399,11.856425929986154
2005-06-29,-2.264029085480399,11.856425929986154
2005-06-30,-2.264029085480399,11.856425929986154
2005-07-01,-3.0724475406840965,11.985582713159442
2005-07-02,-3.0724475406840965,11.985582713159442
2005-07-03,-3.0724475406840965,11.985582713159442
2005-07-04,-3.0724475406840965,11.985582713159442
2005-07-05,-3.0724475406840965,11.985582713159442
2005-07-06,-3.0724475406840965,11.985582713159442
2005-07-07,-3.0724475406840965,11.985582713159442
2005-07-08,-3.0724475406840965,11.985582713159442
2005-07-09,-3.0724475406840965,11.985582713159442
2005-07-10,-3.0724475406840965,11.985582713159442
2005-07-11,-3.0724475406840965,11.985582713159442
2005-07-12,-3.0724475406840965,11.985582713159442
2005-07-13,-3.0724475406840965,11.985582713159442
2005-07-14,-3.0724475406840965,11.985582713159442
2005-07-15,-3.0724475406840965,11.985582713159442
2005-07-16,-3.0724475406840965,11.985582713159442
2005-07-17,-3.0724475406840965,11.985582713159442
2005-07-18,-3.0724475406840965,11.985582713159442
2005-07-19,-3.0724475406840965,11.985582713159442
2005-07-20,-3.0724475406840965,11.985582713159442
2005-07-21,-3.0724475406840965,11.985582713159442
2005-07-22,-3.0724475406840965,11.985582713159442
2005-07-23,-3.0724475406840965,11.985582713159442
2005-07-24,-3.0724475406840965,11.985582713159442
2005-07-25,-3.0724475406840965,11.985582713159442
2005-07-26,-3.0724475406840965,11.985582713159442
2005-07-27,-3.0724475406840965,11.985582713159442
2005-07-28,-3.0724475406840965,11.985582713159442
2005-07-29,-3.0724475406840965,11.985582713159442
2005-07-30,-3.0724475406840965,11.985582713159442
2005-07-31,-3.0724475406840965,11.985582713159442
2005-08-01,-3.8808659958877945,12.495999248856908
2005-08-02,-3.8808659958877945,12.495999248856908
2005-08-03,-3.8808659958877945,12.495999248856908
2005-08-04,-3.8808659958877945,12.495999248856908
2005-08-05,-3.8808659958877945,12.495999248856908
2005-08-06,-3.8808659958877945,12.495999248856908
2005-08-07,-3.8808659958877945,12.495999248856908
2005-08-08,-3.8808659958877945,12.495999248856908
2005-08-09,-3.8808659958877945,12.495999248856908
2005-08-10,-3.8808659958877945,12.495999248856908
2005-08-11,-3.8808659958877945,12.495999248856908
2005-08-12,-3.8808659958877945,12.495999248856908
2005-08-13,-3.8808659958877945,12.495999248856908
2005-08-14,-3.8808659958877945,12.495999248856908
2005-08-15,-3.8808659958877945,12.495999248856908
2005-08-16,-3.8808659958877945,12.495999248856908
2005-08-17,-3.8808659958877945,12.495999248856908
2005-08-18,-3.8808659958877945,12.495999248856908
2005-08-19,-3.8808659958877945,12.495999248856908
2005-08-20,-3.8808659958877945,12.495999248856908
2005-08-21,-3.8808659958877945,12.495999248856908
2005-08-22,-3.8808659958877945,12.495999248856908
2005-08-23,-3.8808659958877945,12.495999248856908
2005-08-24,-3.8808659958877945,12.495999248856908
2005-08-25,-3.8808659958877945,12.495999248856908
2005-08-26,-3.8808659958877945,12.495999248856908
2005-08-27,-3.8808659958877945,12.495999248856908
2005-08-28,-3.8808659958877945,12.495999248856908
2005-08-29,-3.8808659958877945,12.495999248856908
2005-08-30,-3.8808659958877945,12.495999248856908
2005-08-31,-3.8808659958877945,12.495999248856908
2005-09-01,-5.497702906295191,5.841952493802775
2005-09-02,-5.497702906295191,5.841952493802775
2005-09-03,-5.497702906295191,5.841952493802775
2005-09-04,-5.497702906295191,5.841952493802775
2005-09-05,-5.497702906295191,5.841952493802775
2005-09-06,-5.497702906295191,5.841952493802775
2005-09-07,-5.497702906295191,5.841952493802775
2005-09-08,-5.497702906295191,5.841952493802775
2005-09-09,-5.497702906295191,5.841952493802775
2005-09-10,-5.497702906295191,5.841952493802775
2005-09-11,-5.497702906295191,5.841952493802775
2005-09-12,-5.497702906295191,5.841952493802775
2005-09-13,-5.497702906295191,5.841952493802775
2005-09-14,-5.497702906295191,5.841952493802775
2005-09-15,-5.497702906295191,5.841952493802775
2005-09-16,-5.497702906295191,5.841952493802775
2005-09-17,-5.497702906295191,5.841952493802775
2005-09-18,-5.497702906295191,5.841952493802775
2005-09-19,-5.497702906295191,5.841952493802775
2005-09-20,-5.497702906295191,5.841952493802775
2005-09-21,-5.497702906295191,5.841952493802775
2005-09-22,-5.497702906295191,5.841952493802775
2005-09-23,-5.497702906295191,5.841952493802775
2005-09-24,-5.497702906295191,5.841952493802775
2005-09-25,-5.497702906295191,5.841952493802775
2005-09-26,-5.497702906295191,5.841952493802775
2005-09-27,-5.497702906295191,5.841952493802775
2005-09-28,-5.497702906295191,5.841952493802775
2005-09-29,-5.497702906295191,5.841952493802775
2005-09-30,-5.497702906295191,5.841952493802775
2005-10-01,-4.909094716336821,7.121099131544286
2005-10-02,-4.909094716336821,7.121099131544286
2005-10-03,-4.909094716336821,7.121099131544286
2005-10-04,-4.909094716336821,7.121099131544286
2005-10-05,-4.909094716336821,7.121099131544286
2005-10-06,-4.909094716336821,7.121099131544286
2005-10-07,-4.909094716336821,7.121099131544286
2005-10-08,-4.909094716336821,7.121099131544286
2005-10-09,-4.909094716336821,7.121099131544286
2005-10-10,-4.909094716336821,7.121099131544286
2005-10-11,-4.909094716336821,7.121099131544286
2005-10-12,-4.909094716336821,7.121099131544286
2005-10-13,-4.909094716336821,7.121099131544286
2005-10-14,-4.909094716336821,7.121099131544286
2005-10-15,-4.909094716336821,7.121099131544286
2005-10-16,-4.909094716336821,7.121099131544286
2005-10-17,-4.909094716336821,7.121099131544286
2005-10-18,-4.909094716336821,7.121099131544286
2005-10-19,-4.909094716336821,7.121099131544286
2005-10-20,-4.909094716336821,7.121099131544286
2005-10-21,-4.909094716336821,7.121099131544286
2005-10-22,-4.909094716336821,7.121099131544286
2005-10-23,-4.909094716336821,7.121099131544286
2005-10-24,-4.909094716336821,7.121099131544286
2005-10-25,-4.909094716336821,7.121099131544286
2005-10-26,-4.909094716336821,7.121099131544286
2005-10-27,-4.909094716336821,7.121099131544286
2005-10-28,-4.909094716336821,7.121099131544286
2005-10-29,-4.909094716336821,7.121099131544286
2005-10-30,-4.909094716336821,7.121099131544286
2005-10-31,-4.909094716336821,7.121099131544286
2005-11-01,0.5300242048437366,6.991942348370997
2005-11-02,0.5300242048437366,6.991942348370997
2005-11-03,0.5300242048437366,6.991942348370997
2005-11-04,0.5300242048437366,6.991942348370997
2005-11-05,0.5300242048437366,6.991942348370997
2005-11-06,0.5300242048437366,6.991942348370997
2005-11-07,0.5300242048437366,6.991942348370997
2005-11-08,0.5300242048437366,6.991942348370997
2005-11-09,0.5300242048437366,6.991942348370997
2005-11-10,0.5300242048437366,6.991942348370997
2005-11-11,0.5300242048437366,6.991942348370997
2005-11-12,0.5300242048437366,6.991942348370997
2005-11-13,0.5300242048437366,6.991942348370997
2005-11-14,0.5300242048437366,6.991942348370997
2005-11-15,0.5300242048437366,6.991942348370997
2005-11-16,0.5300242048437366,6.991942348370997
2005-11-17,0.5300242048437366,6.991942348370997
2005-11-18,0.5300242048437366,6.991942348370997
2005-11-19,0.5300242048437366,6.991942348370997
2005-11-20,0.5300242048437366,6.991942348370997
2005-11-21,0.5300242048437366,6.991942348370997
2005-11-22,0.5300242048437366,6.991942348370997
2005-11-23,0.5300242048437366,6.991942348370997
2005-11-24,0.5300242048437366,6.991942348370997
2005-11-25,0.5300242048437366,6.991942348370997
2005-11-26,0.5300242048437366,6.991942348370997
2005-11-27,0.5300242048437366,6.991942348370997
2005-11-28,0.5300242048437366,6.991942348370997
2005-11-29,0.5300242048437366,6.991942348370997
2005-11-30,0.5300242048437366,6.991942348370997
2005-12-01,-1.8952311607673573,4.304492289714686
2005-12-02,-1.8952311607673573,4.304492289714686
2005-12-03,-1.8952311607673573,4.304492289714686
2005-12-04,-1.8952311607673573,4.304492289714686
2005-12-05,-1.8952311607673573,4.304492289714686
2005-12-06,-1.8952311607673573,4.304492289714686
2005-12-07,-1.8952311607673573,4.304492289714686
2005-12-08,-1.8952311607673573,4.304492289714686
2005-12-09,-1.8952311607673573,4.304492289714686
2005-12-10,-1.8952311607673573,4.304492289714686
2005-12-11,-1.8952311607673573,4.304492289714686
2005-12-12,-1.8952311607673573,4.304492289714686
2005-12-13,-1.8952311607673573,4.304492289714686
2005-12-14,-1.8952311607673573,4.304492289714686
2005-12-15,-1.8952311607673573,4.304492289714686
2005-12-16,-1.8952311607673573,4.304492289714686
2005-12-17,-1.8952311607673573,4.304492289714686
2005-12-18,-1.8952311607673573,4.304492289714686
2005-12-19,-1.8952311607673573,4.304492289714686
2005-12-20,-1.8952311607673573,4.304492289714686
2005-12-21,-1.8952311607673573,4.304492289714686
2005-12-22,-1.8952311607673573,4.304492289714686
2005-12-23,-1.8952311607673573,4.304492289714686
2005-12-24,-1.8952311607673573,4.304492289714686
2005-12-25,-1.8952311607673573,4.304492289714686
2005-12-26,-1.8952311607673573,4.304492289714686
2005-12-27,-1.8952311607673573,4.304492289714686
2005-12-28,-1.8952311607673573,4.304492289714686
2005-12-29,-1.8952311607673573,4.304492289714686
2005-12-30,-1.8952311607673573,4.304492289714686
2005-12-31,-1.8952311607673573,4.304492289714686
2006-01-01,-1.5264332360543156,7.889829233588331
2006-01-02,-1.5264332360543156,7.889829233588331
2006-01-03,-1.5264332360543156,7.889829233588331
2006-01-04,-1.5264332360543156,7.889829233588331
2006-01-05,-1.5264332360543156,7.889829233588331
2006-01-06,-1.5264332360543156,7.889829233588331
2006-01-07,-1.5264332360543156,7.889829233588331
2006-01-08,-1.5264332360543156,7.889829233588331
2006-01-09,-1.5264332360543156,7.889829233588331
2006-01-10,-1.5264332360543156,7.889829233588331
2006-01-11,-1.5264332360543156,7.889829233588331
2006-01-12,-1.5264332360543156,7.889829233588331
2006-01-13,-1.5264332360543156,7.889829233588331
2006-01-14,-1.5264332360543156,7.889829233588331
2006-01-15,-1.5264332360543156,7.889829233588331
2006-01-16,-1.5264332360543156,7.889829233588331
2006-01-17,-1.5264332360543156,7.889829233588331
2006-01-18,-1.5264332360543156,7.889829233588331
2006-01-19,-1.5264332360543156,7.889829233588331
2006-01-20,-1.5264332360543156,7.889829233588331
2006-01-21,-1.5264332360543156,7.889829233588331
