,simu_logreturn,simu_std
2005-01-04,-0.015182926319539547,0.0036242722999304533
2005-01-05,-0.0029136715456843376,0.0011214872356504202
2005-01-06,0.005923807621002197,0.0020776609890162945
2005-01-07,-0.008137068711221218,0.001123966765590012
2005-01-10,0.003387299133464694,0.0023549972102046013
2005-01-11,-0.011412425898015499,0.002299519022926688
2005-01-12,0.004102948121726513,0.001383699243888259
2005-01-13,0.003660871647298336,0.0005987783661112189
2005-01-14,0.0025118791963905096,0.0007823790656402707
2005-01-18,-0.0011910500470548868,0.0006424447055906057
2005-01-19,0.0009808925678953528,0.00026125230942852795
2005-01-20,-0.002061116276308894,0.0004427950188983232
2005-01-21,-0.0025082745123654604,0.0004265802854206413
2005-01-24,-0.005267119500786066,0.0006945804925635457
2005-01-25,-0.00416966388002038,0.0007690443308092654
2005-01-26,-0.0013805343769490719,0.0004988376749679446
2005-01-27,5.543233783100732e-05,0.00039005331927910447
2005-01-28,0.0012844451703131199,0.0007135344203561544
2005-01-31,0.004681935999542475,0.0017082302365452051
2005-02-01,0.0005664972122758627,0.0004379645688459277
2005-02-02,0.0034296575468033552,0.0003827093751169741
2005-02-03,-0.0013391799293458462,0.00019372778479009867
2005-02-04,0.004108479246497154,0.0004073753079865128
2005-02-07,0.0036118393763899803,0.0009165495866909623
2005-02-08,-0.0012130755931138992,0.0006813451182097197
2005-02-09,-0.001023216056637466,0.00026097026420757174
2005-02-10,0.001385906944051385,0.0002701130579225719
2005-02-11,-0.004649457521736622,0.0010361559689044952
2005-02-14,-0.006942509673535824,0.0023706024512648582
2005-02-15,0.0033046521712094545,0.0009826112072914839
2005-02-16,-0.004872471559792757,0.0007386648212559521
2005-02-17,0.0008641126332804561,0.00037587652332149446
2005-02-18,-0.0023949749302119017,0.00024898318224586546
2005-02-22,-0.007047742605209351,0.000667242449708283
2005-02-23,5.6924814998637885e-05,0.000751198036596179
2005-02-24,0.0015896192053332925,0.0006323019042611122
2005-02-25,-0.0010205127764493227,0.0005859580123797059
2005-02-28,-0.0008613726822659373,0.0006967703811824322
2005-03-01,-0.00013552668679039925,0.000462608237285167
2005-03-02,-0.0023030394222587347,0.0004666376917157322
2005-03-03,0.0006568305543623865,0.0001577219954924658
2005-03-04,0.0006604897789657116,0.00043997130705974996
2005-03-07,-0.0005025616264902055,0.00027338575455360115
2005-03-08,0.0007104132091626525,0.0003820291312877089
2005-03-09,-0.005628243554383516,0.0005849789013154805
2005-03-10,0.002237860579043627,0.0009066475904546678
2005-03-11,0.0006515918648801744,0.0005764045636169612
2005-03-14,0.0017702680779621005,0.0004756647686008364
2005-03-15,0.0009271023445762694,0.0003736410872079432
