代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),市盈率,
600027.SH,华电国际,2005-02-03,--,2.1924,3.1701,2.1391,2.6724,196781389,790418440,--,--,4.0167,26.0092,
600027.SH,华电国际,2005-02-04,2.6724,2.4057,2.4057,2.4057,2.4057,11143800,45243828,-0.2666,-9.9778,4.06,23.414,
600027.SH,华电国际,2005-02-16,2.4057,2.1628,2.2813,2.1628,2.228,80917057,302883376,-0.1778,-7.3892,3.7431,21.6839,
600027.SH,华电国际,2005-02-17,2.228,2.1924,2.3583,2.1924,2.305,70754510,274808111,0.077,3.4574,3.884,22.4336,
600027.SH,华电国际,2005-02-18,2.305,2.2813,2.3168,2.2339,2.2635,32158456,123340221,-0.0415,-1.7995,3.8354,22.0299,
600027.SH,华电国际,2005-02-21,2.2635,2.2694,2.2872,2.2339,2.2813,25183889,96313818,0.0178,0.7853,3.8244,22.203,
600027.SH,华电国际,2005-02-22,2.2813,2.2813,2.3465,2.2517,2.3168,40941406,159267778,0.0356,1.5584,3.8901,22.549,
600027.SH,华电国际,2005-02-23,2.3168,2.3168,2.3228,2.2931,2.3109,29335587,114162414,-0.0059,-0.2558,3.8916,22.4913,
600027.SH,华电国际,2005-02-24,2.3109,2.305,2.3168,2.2517,2.2991,31030926,119130336,-0.0119,-0.5128,3.8391,22.376,
600027.SH,华电国际,2005-02-25,2.2991,2.3228,2.5124,2.2991,2.4472,83486317,340506110,0.1481,6.4433,4.0786,23.8177,
600027.SH,华电国际,2005-02-28,2.4472,2.4294,2.4294,2.382,2.4235,26485853,107672453,-0.0237,-0.9685,4.0653,23.587,
600027.SH,华电国际,2005-03-01,2.4235,2.4235,2.4768,2.4057,2.4413,21489617,88867128,0.0178,0.7335,4.1354,23.76,
600027.SH,华电国际,2005-03-02,2.4413,2.4413,2.5005,2.382,2.3998,25325270,104269797,-0.0415,-1.699,4.1172,23.3564,
600027.SH,华电国际,2005-03-03,2.3998,2.3998,2.4294,2.3583,2.4235,16215842,65507214,0.0237,0.9877,4.0397,23.587,
600027.SH,华电国际,2005-03-04,2.4235,2.4235,2.4887,2.4057,2.4176,21803603,90047611,-0.0059,-0.2445,4.1299,23.5294,
600027.SH,华电国际,2005-03-07,2.4176,2.4176,2.4354,2.3228,2.3465,25103021,99736883,-0.0711,-2.9412,3.9731,22.8373,
600027.SH,华电国际,2005-03-08,2.3465,2.3406,2.4354,2.3346,2.4294,22510929,90602997,0.083,3.5354,4.0248,23.6447,
600027.SH,华电国际,2005-03-09,2.4294,2.4413,2.4472,2.3939,2.4117,20646211,84310156,-0.0178,-0.7317,4.0836,23.4717,
600027.SH,华电国际,2005-03-10,2.4117,2.4057,2.4176,2.3406,2.3583,13313314,53267606,-0.0533,-2.2113,4.0011,22.9527,
600027.SH,华电国际,2005-03-11,2.3583,2.3524,2.3939,2.3465,2.3524,8800613,35123009,-0.0059,-0.2513,3.991,22.895,
600027.SH,华电国际,2005-03-14,2.3524,2.3406,2.3465,2.2635,2.305,13836579,53826182,-0.0474,-2.0151,3.8901,22.4336,
600027.SH,华电国际,2005-03-15,2.305,2.3109,2.3168,2.2754,2.2991,7405034,28688538,-0.0059,-0.2571,3.8742,22.376,
600027.SH,华电国际,2005-03-16,2.2991,2.2931,2.2931,2.2398,2.2457,9272899,35280948,-0.0533,-2.3196,3.8047,21.8569,
600027.SH,华电国际,2005-03-17,2.2457,2.2457,2.2872,2.2398,2.2517,6413918,24491807,0.0059,0.2639,3.8185,21.9146,
600027.SH,华电国际,2005-03-18,2.2517,2.2517,2.2694,2.1746,2.1983,7458400,27924708,-0.0533,-2.3684,3.7441,21.3956,
600027.SH,华电国际,2005-03-21,2.1983,2.1924,2.2339,2.1865,2.222,4439308,16578532,0.0237,1.0782,3.7345,21.6263,
600027.SH,华电国际,2005-03-22,2.222,2.222,2.222,2.0028,2.0265,18381971,64089876,-0.1955,-8.8,3.4866,19.7231,
600027.SH,华电国际,2005-03-23,2.0265,1.9554,2.0798,1.8369,2.0087,8453844,28907002,-0.0178,-0.8772,3.4194,19.5501,
