代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),市盈率,
600028.SH,中国石化,2001-08-08,--,1.7282,1.7658,1.6193,1.6381,677553296,3015767105,--,--,4.451,23.4012,
600028.SH,中国石化,2001-08-09,1.6381,1.6306,1.6343,1.5892,1.6043,156809752,671175289,-0.0338,-2.0642,4.2802,22.9181,
600028.SH,中国石化,2001-08-10,1.6043,1.6043,1.6531,1.5967,1.6306,80839280,349732796,0.0263,1.6393,4.3263,23.2938,
600028.SH,中国石化,2001-08-13,1.6306,1.6268,1.6381,1.6043,1.6155,38012725,163570909,-0.015,-0.9217,4.3031,23.0791,
600028.SH,中国石化,2001-08-14,1.6155,1.6155,1.6343,1.6043,1.608,28286889,121521158,-0.0075,-0.4651,4.296,22.9718,
600028.SH,中国石化,2001-08-15,1.608,1.6043,1.6155,1.6005,1.6043,19902688,85130728,-0.0038,-0.2336,4.2773,22.9181,
600028.SH,中国石化,2001-08-16,1.6043,1.608,1.6118,1.593,1.593,23650591,100679975,-0.0113,-0.7026,4.257,22.7571,
600028.SH,中国石化,2001-08-17,1.593,1.5967,1.6306,1.593,1.6193,30386864,129895763,0.0263,1.6509,4.2747,23.1328,
600028.SH,中国石化,2001-08-20,1.6193,1.6155,1.6155,1.5967,1.6005,10645065,45411354,-0.0188,-1.1601,4.266,22.8645,
600028.SH,中国石化,2001-08-21,1.6005,1.6043,1.608,1.593,1.593,21154866,89907740,-0.0075,-0.4695,4.25,22.7571,
600028.SH,中国石化,2001-08-22,1.593,1.593,1.5967,1.5517,1.5554,78141589,324714665,-0.0376,-2.3585,4.1555,22.2204,
600028.SH,中国石化,2001-08-23,1.5554,1.5479,1.5517,1.5103,1.5441,35309410,143967608,-0.0113,-0.7246,4.0773,22.0594,
600028.SH,中国石化,2001-08-24,1.5441,1.5441,1.5441,1.5441,1.5441,--,--,0,0,--,22.0594,
600028.SH,中国石化,2001-08-27,1.5441,1.5216,1.5254,1.469,1.4878,33867332,134824676,-0.0564,-3.6496,3.981,21.2543,
600028.SH,中国石化,2001-08-28,1.4878,1.4765,1.5066,1.469,1.5028,26103817,103591257,0.015,1.0101,3.9684,21.469,
600028.SH,中国石化,2001-08-29,1.5028,1.5066,1.5141,1.4915,1.4915,12700568,50647586,-0.0113,-0.75,3.9878,21.308,
600028.SH,中国石化,2001-08-30,1.4915,1.4915,1.5178,1.4803,1.5141,14503134,57842670,0.0225,1.5113,3.9883,21.63,
600028.SH,中国石化,2001-08-31,1.5141,1.5103,1.5103,1.4991,1.4991,5425914,21702790,-0.015,-0.9926,3.9998,21.4153,
600028.SH,中国石化,2001-09-03,1.4991,1.4991,1.4991,1.4728,1.4765,11589799,45782128,-0.0225,-1.5038,3.9502,21.0933,
600028.SH,中国石化,2001-09-04,1.4765,1.4765,1.5066,1.4765,1.4953,12026630,47732669,0.0188,1.2723,3.9689,21.3616,
600028.SH,中国石化,2001-09-05,1.4953,1.5028,1.5066,1.4878,1.4953,8398402,33481830,0,0,3.9867,21.3616,
600028.SH,中国石化,2001-09-06,1.4953,1.4953,1.4953,1.4803,1.484,7806661,30859504,-0.0113,-0.7538,3.953,21.2006,
